date,forecast_best,product_name
2025-01-13,7134.59033203125,Hot Wheels Track Builder
2025-01-14,7134.98779296875,Hot Wheels Track Builder
2025-01-15,7136.0302734375,Hot Wheels Track Builder
2025-01-16,7136.5673828125,Hot Wheels Track Builder
2025-01-17,7136.7861328125,Hot Wheels Track Builder
2025-01-18,7136.82861328125,Hot Wheels Track Builder
2025-01-19,7136.7880859375,Hot Wheels Track Builder
2025-01-20,7136.7314453125,Hot Wheels Track Builder
2025-01-21,7136.689453125,Hot Wheels Track Builder
2025-01-22,7136.66796875,Hot Wheels Track Builder
2025-01-23,7136.66162109375,Hot Wheels Track Builder
2025-01-24,7136.6650390625,Hot Wheels Track Builder
2025-01-25,7136.66845703125,Hot Wheels Track Builder
2025-01-26,7136.67138671875,Hot Wheels Track Builder
2025-01-27,7136.673828125,Hot Wheels Track Builder
2025-01-28,7136.6748046875,Hot Wheels Track Builder
2025-01-29,7136.6748046875,Hot Wheels Track Builder
2025-01-01,8088.4814453125,Huda Beauty Eyeshadow Palette
2025-01-02,8045.93017578125,Huda Beauty Eyeshadow Palette
2025-01-03,8049.955078125,Huda Beauty Eyeshadow Palette
2025-01-04,8004.95654296875,Huda Beauty Eyeshadow Palette
2025-01-05,8030.4052734375,Huda Beauty Eyeshadow Palette
2025-01-06,8061.38330078125,Huda Beauty Eyeshadow Palette
2025-01-07,8082.76123046875,Huda Beauty Eyeshadow Palette
2025-01-08,8113.6181640625,Huda Beauty Eyeshadow Palette
2025-01-09,8112.20849609375,Huda Beauty Eyeshadow Palette
2025-01-10,8111.64306640625,Huda Beauty Eyeshadow Palette
2025-01-11,8111.46142578125,Huda Beauty Eyeshadow Palette
2025-01-12,8111.65087890625,Huda Beauty Eyeshadow Palette
2025-01-13,8111.85791015625,Huda Beauty Eyeshadow Palette
2025-01-14,8112.00390625,Huda Beauty Eyeshadow Palette
2025-01-15,8112.0927734375,Huda Beauty Eyeshadow Palette
2025-01-16,8112.08203125,Huda Beauty Eyeshadow Palette
2025-01-17,8112.0771484375,Huda Beauty Eyeshadow Palette
2025-01-18,8112.078125,Huda Beauty Eyeshadow Palette
2025-01-19,8112.078125,Huda Beauty Eyeshadow Palette
2025-01-20,8112.07958984375,Huda Beauty Eyeshadow Palette
2025-01-21,8112.0810546875,Huda Beauty Eyeshadow Palette
2025-01-22,8112.0810546875,Huda Beauty Eyeshadow Palette
2025-01-23,8112.0810546875,Huda Beauty Eyeshadow Palette
2025-01-24,8112.0810546875,Huda Beauty Eyeshadow Palette
2025-01-25,8112.0810546875,Huda Beauty Eyeshadow Palette
2025-01-26,8112.0810546875,Huda Beauty Eyeshadow Palette
2025-01-27,8112.0810546875,Huda Beauty Eyeshadow Palette
2025-01-28,8112.0810546875,Huda Beauty Eyeshadow Palette
2025-01-29,8112.0810546875,Huda Beauty Eyeshadow Palette
2025-01-30,8112.0810546875,Huda Beauty Eyeshadow Palette
2024-12-20,7805.77880859375,IKEA MALM Bed Frame
2024-12-21,8035.53466796875,IKEA MALM Bed Frame
2024-12-22,8236.734375,IKEA MALM Bed Frame
2024-12-23,8400.63671875,IKEA MALM Bed Frame
2024-12-24,9108.4384765625,IKEA MALM Bed Frame
2024-12-25,9096.505859375,IKEA MALM Bed Frame
2024-12-26,9093.8154296875,IKEA MALM Bed Frame
2024-12-27,9095.6689453125,IKEA MALM Bed Frame
2024-12-28,9094.767578125,IKEA MALM Bed Frame
2024-12-29,9094.734375,IKEA MALM Bed Frame
2024-12-30,9095.0625,IKEA MALM Bed Frame
2024-12-31,9095.421875,IKEA MALM Bed Frame
2025-01-01,9095.412109375,IKEA MALM Bed Frame
2025-01-02,9095.4072265625,IKEA MALM Bed Frame
2025-01-03,9095.40625,IKEA MALM Bed Frame
2025-01-04,9095.40625,IKEA MALM Bed Frame
2025-01-05,9095.404296875,IKEA MALM Bed Frame
2025-01-06,9095.40625,IKEA MALM Bed Frame
2025-01-07,9095.40625,IKEA MALM Bed Frame
2025-01-08,9095.4052734375,IKEA MALM Bed Frame
2025-01-09,9095.4052734375,IKEA MALM Bed Frame
2025-01-10,9095.4052734375,IKEA MALM Bed Frame
2025-01-11,9095.4052734375,IKEA MALM Bed Frame
2025-01-12,9095.4052734375,IKEA MALM Bed Frame
2025-01-13,9095.4052734375,IKEA MALM Bed Frame
2025-01-14,9095.4052734375,IKEA MALM Bed Frame
2025-01-15,9095.4052734375,IKEA MALM Bed Frame
2025-01-16,9095.4052734375,IKEA MALM Bed Frame
2025-01-17,9095.4052734375,IKEA MALM Bed Frame
2025-01-18,9095.4052734375,IKEA MALM Bed Frame
2025-01-01,6221.26929774735,Kellogg’s Corn Flakes
2025-01-02,2401.0766752237605,Kellogg’s Corn Flakes
2025-01-03,3024.429718769426,Kellogg’s Corn Flakes
2025-01-04,413.74211888714717,Kellogg’s Corn Flakes
2025-01-05,2623.4192419251626,Kellogg’s Corn Flakes
2025-01-06,-966.4708872188467,Kellogg’s Corn Flakes
2025-01-07,2305.8713465703577,Kellogg’s Corn Flakes
2025-01-08,6020.373050454715,Kellogg’s Corn Flakes
2025-01-09,2320.2620632671933,Kellogg’s Corn Flakes
2025-01-10,3064.419006756563,Kellogg’s Corn Flakes
2025-01-11,570.6181844617377,Kellogg’s Corn Flakes
